record_id,title,authors,year,source_db,venue,doi,subtopic,included,exclusion_reason,qac_score,nist_level,domain,migration_strategy,corpus_type,peer_reviewed,audit_note
036,FALCON: Fast-Fourier Lattice-Based Compact Signatures,Prest et al.,2022,Other,NIST Submission,N/A,SLH-DSA_FALCON_HQC,1,,5,1/3/5,IoT/PKI,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
038,SPHINCS+: Submission to the NIST Post-Quantum Project,Hulsing et al.,2022,Other,NIST Submission,N/A,SLH-DSA_FALCON_HQC,1,,5,1/3/5,PKI,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
039,HQC: Hamming Quasi-Cyclic,Aragon et al.,2022,Other,NIST Submission,N/A,SLH-DSA_FALCON_HQC,1,,5,1/3/5,TLS,S1,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
041,FALCON: Fast-Fourier Lattice-Based Compact Signatures (ePrint),Fouque et al.,2020,arXiv,ePrint,N/A,SLH-DSA_FALCON_HQC,1,,4,1/3/5,IoT,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
044,Transitioning the Use of Cryptographic Algorithms and Key Lengths,Barker and Roginsky,2019,NIST,NIST SP 800-131A,10.6028/NIST.SP.800-131Ar2,HNDL,1,,5,N/A,All,N/A,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
045,Quantum-Resistant Cryptography: FAQs,NSA,2021,Other,NSA Report,N/A,HNDL,1,,5,N/A,All,N/A,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
046,Commercial National Security Algorithm Suite 2.0,NSA,2022,Other,NSA Advisory,N/A,HNDL,1,,5,N/A,All,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
050,Annual Threat Assessment,ODNI,2023,Other,ODNI Report,N/A,HNDL,1,,5,N/A,All,N/A,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
052,Quantum-Safe Hybrid Key Exchange and Authentication in TLS,Whyte et al.,2017,Other,IETF Draft,N/A,TLS_Hybrid,1,,4,1/3,TLS,S4,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
054,The TLS Post-Quantum Experiment,Kwiatkowski and Valenta,2019,Other,Blog/WS,N/A,TLS_Hybrid,1,,4,1,TLS,S4,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
055,Hybrid Post-Quantum Schemes: A Review,Campagna and Crockett,2020,Other,NIST Workshop,N/A,TLS_Hybrid,1,,4,1/3,TLS/VPN,S1/S4,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
056,Observations on the NIST PQC Standardization Process,Celi et al.,2022,arXiv,ePrint,N/A,TLS_Hybrid,1,,4,1/3,TLS,S4/S5,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
058,liboqs: Open Source Quantum-Safe Cryptographic Library,OQS Project,2024,Other,Software,N/A,TLS_Hybrid,1,,5,1/3/5,All,S1,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
060,XMSS: Extended Merkle Signature Scheme,Hulsing et al.,2018,Other,RFC 8391,10.17487/RFC8391,PKI_Cert,1,,5,N/A,PKI,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
061,Leighton-Micali Hash-Based Signatures,McGrew et al.,2019,Other,RFC 8554,10.17487/RFC8554,PKI_Cert,1,,5,N/A,PKI,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
062,Recommendation for Stateful Hash-Based Signature Schemes,Cooper et al.,2020,NIST,NIST SP 800-208,10.6028/NIST.SP.800-208,PKI_Cert,1,,5,N/A,PKI/Gov,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
063,Post-Quantum Options for IoT: Survey on Lightweight PQC,Kampanakis and Panagiotakos,2022,arXiv,ePrint,N/A,PKI_Cert,1,,4,1,IoT/PKI,S10,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
064,Identifying Research Challenges in Post Quantum Cryptography Migration,Ott et al.,2019,arXiv,ePrint,N/A,PKI_Cert,1,,4,All,PKI/All,S13,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
088,Mixing Preshared Keys in IKEv2 for Post-quantum Security,Fluhrer et al.,2020,Other,RFC 8784,10.17487/RFC8784,VPN_ZeroTrust,1,,5,N/A,VPN,S6,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
089,Hybrid key exchange in TLS 1.3,Ounsworth and Pala,2024,Other,IETF Draft,N/A,VPN_ZeroTrust,1,,4,1/3,TLS/VPN,S4,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
091,Efficient Implementation of Post-Quantum Key Encapsulation in TLS 1.3,Paquin et al.,2020,arXiv,ePrint,N/A,VPN_ZeroTrust,1,,4,1/3,TLS/VPN,S1,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
094,Post-Quantum Cryptography: Current State and Quantum Mitigation,ENISA,2021,Other,ENISA Report,N/A,Regulatory,1,,5,N/A,EU/All,S13,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
095,Post-Quantum Cryptography: Integration Challenges for Telecom,ENISA,2022,Other,ENISA Report,N/A,Regulatory,1,,5,N/A,EU/Telecom,S13,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
096,Position Paper on Quantum Key Distribution,BSI/ANSSI,2021,Other,BSI Report,N/A,Regulatory,1,,4,N/A,EU/Gov,N/A,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
097,Lei Geral de Proteção de Dados Pessoais,Brazil,2018,Other,Official Gazette,N/A,Regulatory,1,,4,N/A,BR/All,N/A,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
098,General Data Protection Regulation,EU,2016,Other,OJ EU,N/A,Regulatory,1,,4,N/A,EU/All,N/A,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
099,Memorandum M-23-02: Migrating to Post-Quantum Cryptography,OMB,2022,Other,OMB Memo,N/A,Regulatory,1,,5,N/A,US/Fed,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
100,Guideline for Using Cryptographic Standards in the Federal Government,Barker and Dang,2020,NIST,NIST SP 800-175B,10.6028/NIST.SP.800-175Br1,Regulatory,1,,5,N/A,US/Fed,S13,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
108,Crypto-Agility and Post-Quantum Cryptography,Scott,2022,arXiv,ePrint,N/A,Crypto_Agility,1,,4,All,All,S13,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
